"Species";"Kingdom";"Phylum";"Class";"Order";"Family";"System";
"Anolis aeneus";"Animalia";"Chordata";"Reptilia";"Squamata";"Polychrotidae";"Terrestrial";
"Anolis carolinensis";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis cristatellus";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis distichus";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis equestris";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis extremus";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis garmani";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis leachii";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis lineatus";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis maynardi";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis porcatus";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis richardii";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis trinitatis";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis wattsi";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Boa constrictor imperator";"Animalia";"Chordata";"Reptilia";"Squamata";"Boidae";"Terrestrial";
"Boiga irregularis";"Animalia";"Chordata";"Reptilia";"Squamata";"Colubridae";"Terrestrial";
"Caiman crocodilus";"Animalia";"Chordata";"Reptilia";"Crocodilia";"Alligatoridae";"Freshwater_terrestrial";
"Chamaeleo jacksonii";"Animalia";"Chordata";"Reptilia";"Squamata";"Chamaeleonidae";"Terrestrial";
"Ctenosaura similis";"Animalia";"Chordata";"Reptilia";"Squamata";"Iguanidae";"Terrestrial";
"Elaphe guttata";"Animalia";"Chordata";"Reptilia";"Squamata";"Colubridae";"Terrestrial";
"Eleutherodactylus coqui";"Animalia";"Chordata";"Amphibia";"Anura";"Leptodactylidae";"Freshwater_terrestrial";
"Eleutherodactylus johnstonei";"Animalia";"Chordata";"Amphibia";"Anura";"Leptodactylidae";"Freshwater_terrestrial";
"Eleutherodactylus planirostris";"Animalia";"Chordata";"Amphibia";"Anura";"Leptodactylidae";"Freshwater_terrestrial";
"Gastrophryne carolinensis";"Animalia";"Chordata";"Amphibia";"Anura";"	Microhylidae";"Freshwater_terrestrial";
"Hemidactylus frenatus";"Animalia";"Chordata";"Reptilia";"Squamata";"Gekkonidae";"Terrestrial";
"Hemidactylus mabouia";"Animalia";"Chordata";"Reptilia";"Squamata";"Gekkonidae";"Terrestrial";
"Iguana iguana";"Animalia";"Chordata";"Reptilia";"Squamata";"Iguanidae";"Terrestrial";
"Lithobates catesbeianus";"Animalia";"Chordata";"Amphibia";"Anura";"Ranidae";"Freshwater_terrestrial";
"Litoria aurea";"Animalia";"Chordata";"Amphibia";"Anura";"Hylidae";"Freshwater_terrestrial";
"Natrix maura";"Animalia";"Chordata";"Reptilia";"Squamata";"Colubridae";"Freshwater_terrestrial";
"Norops grahami";"Animalia";"Chordata";"Reptilia";"Squamata";"Polychrotidae";"Terrestrial";
"Norops sagrei";"Animalia";"Chordata";"Reptilia";"Squamata";"Polychrotidae";"Terrestrial";
"Osteopilus septentrionalis";"Animalia";"Chordata";"Amphibia";"Anura";"Hylidae";"Freshwater_terrestrial";
"Podarcis sicula";"Animalia";"Chordata";"Reptilia";"Squamata";"Lacertidae";"Terrestrial";
"Python bivittatus";"Animalia";"Chordata";"Reptilia";"Squamata";"Pythonidae";"Terrestrial";
"Ramphotyphlops braminus";"Animalia";"Chordata";"Reptilia";"Squamata";"	Typhlopidae";"Terrestrial";
"Rhinella marina";"Animalia";"Chordata";"Amphibia";"Anura";"Bufonidae";"Freshwater_terrestrial";
"Scinax ruber";"Animalia";"Chordata";"Amphibia";"Anura";"Hylidae";"Freshwater_terrestrial";
"Scinax x-signatus";"Animalia";"Chordata";"Amphibia";"Anura";"Hylidae";"Freshwater_terrestrial";
"Trachemys scripta elegans";"Animalia";"Chordata";"Reptilia";"Testudines";"Emydidae";"Freshwater_terrestrial";
"Varanus indicus";"Animalia";"Chordata";"Reptilia";"Squamata";"Varanidae";"Terrestrial";
"Varanus niloticus";"Animalia";"Chordata";"Reptilia";"Squamata";"Varanidae";"Freshwater_terrestrial";
"Xenopus laevis";"Animalia";"Chordata";"Amphibia";"Anura";"Pipidae";"Brackish";
